"Search Parameters"	"Year"	"Mo"	"Dy"	"Country"	"Region"	"Location Name"	"Latitude"	"Longitude"	"Focal Depth (km)"	"Mag"	"MMI Int"	"Deaths"	"Death Description"	"Injuries"	"Injuries Description"	"Damage ($Mil)"	"Damage Description"
"[""1900 <= Year >= 2020""]"																	
	1900	1	10	"INDONESIA"	170	"INDONESIA:  GALELA (HALMAHERA ISLAND)"	-0.03	127.25									
	1900	1	11	"JAPAN"	30	"JAPAN:  SEA OF JAPAN"	36.5	133.5		7.8							
	1900	1	14	"INDONESIA"	60	"INDONESIA:  JAVA:  SUKABUMI"	-6.84	106.96			7						2
	1900	1	20	"MEXICO"	150	"MEXICO"	20	-105	10	7.4							1
	1900	5	16	"MEXICO"	150	"MEXICO:  NEAR COAST OF JALISCO"	20	-105	60	7.8							
	1900	6	7	"VENEZUELA"	160	"VENEZUELA:  CASANAY (CASANAI),CARIACO"	10.3	-63.3									2
	1900	6	21	"COSTA RICA"	100	"COSTA RICA"	10	-85.5	60	7.5							
	1900	7	12	"TURKEY"	140	"TURKEY:  KARS,KARAKURT,KAGIZMAN,DIGOR"	40.3	43.1		5.9	8	140	3				3
	1900	7	29	"SOLOMON ISLANDS"	170	"SOLOMON ISLANDS:  SANTA CRUZ ISLANDS"	-10	165	33	7.6							
	1900	8	11	"USA"	150	"ALASKA:  SE. ALASKA"	58.6	-137.5									
	1900	9	10	"PAPUA NEW GUINEA"	170	"PAPUA NEW GUINEA:  BISMARCK SEA"	-4	152		6.8							1
	1900	9	17	"PAPUA NEW GUINEA"	170	"PAPUA NEW GUINEA:  RABAUL HARBOR"	-5	148		7.1							
	1900	9	18	"COLOMBIA"	160	"COLOMBIA"	4.6	-74		7.9							
	1900	10	7	"INDONESIA"	170	"INDONESIA:  NW. IRIAN JAYA"	-4	140	33	6.9							
	1900	10	9	"USA"	150	"ALASKA:  KODIAK ISLAND"	57.09	-153.48		8.3	8						1
	1900	10	29	"VENEZUELA"	90	"VENEZUELA:  MACUTO"	11	-66		7.7	10	25	1				3
	1900	12	25	"RUSSIA"	50	"RUSSIA:  KURIL ISLANDS"	43	146	40	7.9	9						
	1901	1	7	"ECUADOR"	160	"ECUADOR:  ESMERALDAS"	-2	-82	25	7.8							
	1901	2	15	"CHINA"	30	"CHINA:  YUNNAN PROVINCE"	26	100.1		6	8		3				3
	1901	3	3	"USA"	150	"CALIFORNIA:  SAN DIEGO"	36	-120.5		6.4	8						1
	1901	3	31	"BULGARIA"	110	"BULGARIA:  BALCHIK, KAVARNA, BLATNITSA, LIMANU"	43.4	28.7		6.4	8	4	1	50	1		3
	1901	3	31	"BULGARIA"	110	"BULGARIA:  BALCHIK"	43.4	28.5		7.2	10	4	1	50	1		3
	1901	4	5	"RUSSIA"	50	"RUSSIA:  KURIL ISLANDS"	45	148	30	7.5							
	1901	6	15	"JAPAN"	30	"IWATE, JAPAN"	39	143	33								
	1901	6	24	"JAPAN"	30	"JAPAN:  RYUKYU ISLANDS"	27	130	60	7.9							
	1901	8	9	"JAPAN"	30	"JAPAN:  OFF NORTHEAST COAST HONSHU"	40.5	142.5	33	7.9							2
	1901	8	9	"NEW CALEDONIA"	170	"NEW CALEDONIA:  LOYALTY ISLANDS"	-22	170		7.9							1
	1901	8	9	"JAPAN"	30	"JAPAN:  OFF NORTHEAST COAST HONSHU"	40.6	142.3	33	8.2		18	1				2
	1901	8	9	"JAPAN"	30	"JAPAN:  OFF NORTHEAST COAST HONSHU"	40.5	142.5	33	6.3							
	1901	9	10	"PHILIPPINES"	170	"PHILIPPINES:  LUZON:  E TAYABAS,CALAUAG BAY"	14	121.6			7						2
	1901	10	8	"NICARAGUA"	100	"NICARAGUA"	11	-86.5		7							1
	1901	11	8	"TURKEY"	140	"TURKEY:  HASANKALE,HINS,ERZURUM"	40	41.5		6.1	8						3
	1901	12	14	"PHILIPPINES"	170	"PHILIPPINES:  LUZON"	14	122	33	7.8	7						1
	1901	12	18	"TURKEY"	140	"TURKEY:  AYVALIK, MOSKO IS; GREECE:  KHIOS"	39.4	26.7		5.9	8						2
	1901	12	31	"USA"	150	"ALASKA:  ALEUTIAN ISLANDS:  FOX ISLANDS"	51.45	-171.02		7.8							1
	1902	1	1	"USA"	150	"ALASKA:  ALEUTIAN ISLANDS:  FOX ISLANDS"	52.4	-167.5		7.8							
	1902	1	16	"MEXICO"	150	"MEXICO:  GUERRERO"	17.6	-99.7		7		2	1				2
	1902	1	18	"GUATEMALA"	100	"GUATEMALA:  SAN MARTIN, QUEZALTENANGO"	14.71	-91.59		6.3							1
	1902	1	24	"PAPUA NEW GUINEA"	170	"PAPUA NEW GUINEA"	-8	150	60	7.8							
	1902	2	9	"TONGA"	170	"TONGA ISLANDS"	-20	-174	60	7.8							
	1902	2	13	"AZERBAIJAN"	40	"AZERBAIJAN:  SEMACHA; N IRAN"	40.7	48.6	15	6.9	9	86	2	60	2		4
	1902	2	26	"EL SALVADOR"	100	"EL SALVADOR-GUATEMALA"	13.5	-89.5		7							
	1902	3	9	"TURKEY"	140	"TURKEY:  CANKIRI"	40.7	33.6		5.5	9	4	1				3
	1902	4	19	"GUATEMALA"	100	"GUATEMALA:  QUEZALTENANGO, SAN MARCOS"	14	-91	33	7.5		2000	4				3
	1902	4	29	"USA"	150	"CALIFORNIA:  SOUTHERN"	34.5	-120.5			7						2
	1902	6	11	"RUSSIA"	50	"RUSSIA:  SEA OF OKHOTSK"	50	148	600	8	4						
	1902	7	5	"TURKEY"	140	"TURKEY:  THESSALONIKI"	40.75	23.25		6.6	9						
	1902	7	9	"IRAN"	140	"IRAN:  QESHM ISLAND:  QESHM,BANDAR ABBAS,GENU"	27.1	56.3		6.3	8	10	1				2
	1902	8	21	"PHILIPPINES"	170	"PHILIPPINES:  MINDANAO:  LANAO, COTABATO"	7.5	123.5		7.3	10		3				3
	1902	8	22	"CHINA"	40	"CHINA:  XINJIANG, TURKESTAN"	39.88	76.2	30	7.7	10	2500	4				4
	1902	8	26	"PHILIPPINES"	170	"PHILIPPINES:  ILOILO,PANAY"	10.8	122.6			9						3
	1902	8		"CHINA"	30	"CHINA:   YUNNAN PROVINCE"	26.3	99.9		5.5	7	6	1				2
	1902	9	22	"USA TERRITORY"	170	"GUAM:  AGANA"	18	146	33	8.1	9				1		3
	1902	9	23	"MEXICO"	150	"MEXICO:  VENUSTIANO CARRANZA,CHIAPAS,CHIS,TABASCO"	16.6	-92.6	100	7.8							3
	1902	11	17	"USA"	150	"UTAH"	37.4	-113.5			8						2
	1902	12	12	"MEXICO"	150	"MEXICO:  BAJA CALIFORNIA"	29	-114	60	7.8							
	1902	12	16	"UZBEKISTAN"	40	"UZBEKISTAN:   ANDIZHAN"	40.8	72.3	9	6.4	9	4880	4				4
	1903	1	4	"TONGA"	170	"TONGA ISLANDS"	-20	-175	400	8							
	1903	1	14	"MEXICO"	150	"MEXICO:  OFF COAST OF GUERRERO"	15	-98	33	7.7							
	1903	2	1	"MONGOLIA"	40	"MONGOLIA"	48	98	60	7.8							
	1903	2	10	"USA TERRITORY"	170	"GUAM"	14	143.3			7						1
	1903	2	27	"INDONESIA"	60	"INDONESIA:  S OF JAVA"	-8	106		8.1							
	1903	3	29	"ISRAEL"	140	"ISRAEL:  NABULUS"	32.2	35.3		5.7		20	1				
	1903	3	30	"INDONESIA"	170	"INDONESIA:  TIFU, MASARETE, KAJELI"	-3	127.5	33	6.5							
	1903	4	19	"TURKEY"	140	"TURKEY"	39.1	42.4				1700	4				3
	1903	4	28	"TURKEY"	140	"TURKEY:  MALAZGIRT"	39.1	42.5		6.3	10	3560	4		4		4
	1903	5	13	"VANUATU"	170	"VANUATU ISLANDS"	-17	168	60	7.9							
	1903	5	13	"ITALY"	130	"ITALY:  PALERMO"	38.1	13.4									
	1903	5	28	"TURKEY"	140	"TURKEY:  VARGINIS,CARDAHLI,MEHKEREK"	40.9	42.7		5.8	8	1000	3				3
	1903	6	2	"USA"	150	"ALASKA:  SOUTHWEST"	61.56	-158.54		8.3							
	1903	7	16	"MEXICO"	150	"MEXICO:  ACAPULCO"	16.7	-99.2									
	1903	7	28	"ITALY"	130	"ITALY:  N"	44.3	10			12						
	1903	8	8	"COLOMBIA"	160	"COLOMBIA"	4.6	-74		7.7							
	1903	8	11	"GREECE"	130	"GREECE:  MITATA (KYTHERA)"	36	23	100	7.8	11	2	1				3
	1903	9	7	"TAIWAN"	30	"TAIWAN"											
	1903	9	25	"IRAN"	140	"IRAN:  KASHMAR"	35.2	58.2		5.9	8	350	3				2
	1903	9	26	"CHILE"	160	"CHILE:  IQUIQUE"	-20.2	-70.15									
	1903	12	7	"CHILE"	160	"CHILE:  VALLENAR, FREIRINA"	-28.5	-71		6.5	8		1				2
	1903	12	28	"PHILIPPINES"	170	"PHILIPPINES:  DAVAO GULF"	7	126	60	7.8	8						2
	1904	1	20	"COLOMBIA"	160	"PANAMA-COLOMBIA"	7	-79	60	7.9							
	1904	3	18	"JAPAN"	30	"JAPAN:  HOKKAIDO"	42.5	145.8	40	7.6	10						1
	1904	4	4	"BULGARIA"	110	"BULGARIA:  STRUMA"	41.8	23.2	15	7.5	10						3
	1904	4	4	"BULGARIA"	110	"BULGARIA:  STRUMA"	41.8	23.2	15	7.8	11						3
	1904	4	24	"TAIWAN"	30	"TAIWAN:  JIAYI"	23.5	120.5		6		3	1	10	1		2
	1904	6	7	"JAPAN"	30	"JAPAN:  SEA OF JAPAN"	40	134	350	7.9							
	1904	6	25	"RUSSIA"	50	"RUSSIA:  OFF KAMCHATKA"	52	159	30	8.3	10						1
	1904	6	25	"RUSSIA"	50	"RUSSIA:  OFF KAMCHATKA"	52	159	30	8.1	10						1
	1904	6	27	"RUSSIA"	50	"RUSSIA:  OFF KAMCHATKA"	52	159	60	7.9	9						
	1904	8	8	"NEW ZEALAND"	170	"NEW ZEALAND:  E OF NORTH ISLAND"	-40.5	177	33	7.5							
	1904	8	11	"GREECE"	130	"GREECE:  SAMOS, PATMOS"	37.75	27	10	6.2	10	4	1				3
	1904	8	24	"JAPAN"	30	"JAPAN:  KYUSHU"	30	130	25	7.9							
	1904	8	27	"USA"	150	"ALASKA:  RAMPART"	64.66	-148.08		8.3	6						
	1904	8	30	"CHINA"	30	"CHINA:  SICHUAN PROVINCE"	31.2	100.9		6	8	400	3				2
	1904	9	7	"INDONESIA"	60	"INDONESIA:  S. JAVA"	-7.7	109									
	1904	11	1	"ECUADOR"	160	"ECUADOR"	-1	-80.5		7.7							
	1904	11	5	"TAIWAN"	30	"TAIWAN:  JIAYI"	23.5	120.3		6.3		145	3	158	3		2
	1904	12	20	"PANAMA"	100	"PANAMA:  BOCAS DEL TORO"	9.2	-82.8	60	7.2							
	1905	1	20	"COSTA RICA"	100	"COSTA RICA:  PUNTARENAS"	9.85	-84.68		6.8							1
	1905	1	22	"INDONESIA"	170	"INDONESIA:  MINAHASSA PENINSULA"	1	123	90	8.4							
	1905	2	14	"USA"	150	"ALASKA:  ANDREANOF ISLANDS"	50.73	-178.55		7.9							
	1905	2	26	"NEW ZEALAND"	170	"NEW ZEALAND"											
	1905	3	18	"KERMADEC ISLANDS (NEW ZEALAND)"	170	"KERMADEC ISLANDS"	-27.5	-173	60	7.5							
	1905	3	19	"VANUATU"	170	"VANUATU:  MALO PASS"	-15.6	167.2									
	1905	4	4	"INDIA"	60	"INDIA:  KANGRA"	33	76	25	7.8	10	19000	4				4
	1905	4	15	"TURKEY"	140	"TURKEY"	40.2	29	33	6.5	10						
	1905	4	25	"IRAN"	140	"IRAN:  BANDAR ABBAS,QESHM,HENGAM"	26.4	56.3									2
	1905	5	9	"MEXICO"	150	"MEXICO:  JALISCO"	20.3	-103.4									3
	1905	5	18	"PAPUA NEW GUINEA"	170	"PAPUA NEW GUINEA:  BISMARCK SEA"	-4	149	60	7.5							
	1905	6	1	"ALBANIA"	130	"ALBANIA:  SHKODER"	42.1	19.6	20	6.6	10	120	3			23.8	3
	1905	6	2	"JAPAN"	30	"JAPAN:  AKI"	34	132	100	7.8		11	1				1
	1905	6	30	"KIRIBATI"	170	"KIRIBATI:  PHOENIX ISLANDS"	-1	-168	60	7.6							
	1905	7	6	"JAPAN"	30	"JAPAN:  OFF FUKUSHIMA"	37.4	142.6	33	7							
	1905	7	9	"MONGOLIA"	40	"MONGOLIA"	49	99	33	8.4							
	1905	7	23	"MONGOLIA"	40	"MONGOLIA"	49	98	33	8.4							
	1905	8	26	"ITALY"	130	"ITALY:  CENTRAL"	42.1	13.9			12						
	1905	9	1	"JAPAN"	30	"JAPAN:  HOKKAIDO"	45	143	230	7.5							
	1905	9	8	"ITALY"	130	"ITALY:  MONTELEONE, TROPEA, MONTE PORO"	38.67	16.07	15	7.1	11	557	3	2000	4		4
	1905	9	15	"RUSSIA"	50	"RUSSIA:  KOMANDORSKY ISLAND"	53	164	60	7.8							
	1905	10	4	"RUSSIA"	40	"RUSSIA:  BLACK SEA"	44.5	37.5		5.1	7						
	1905	10	8	"BULGARIA"	110	"BULGARIA"	42	23	33	6.4	10						
	1905	10	21	"GEORGIA"	40	"GEORGIA:  CAUCASUS"	42	42	60	7.5							
	1905	11	8	"CHINA"	30	"CHINA:  SICHUAN PROVINCE"	29.3	104.8		5	6	13	1		1		1
	1905	11	8	"GREECE"	130	"GREECE:  AEGEAN SEA"	40.092	24.627	15	7.2	10						2
	1905	11	22	"VANUATU"	170	"VANUATU:  PORT VILA"	-17.7	168.3									
	1905	11	24	"VANUATU"	170	"VANUATU:  PORT VILA"	-17.7	168.3									
	1905	12	4	"TURKEY"	140	"TURKEY:  PUTURGE,CELIKHAN,RUMKALE"	38.1	38.6		6.8	9		3				3
	1905	12	8	"PHILIPPINES"	170	"PHILIPPINES:  W. LUZON ISLAND:  TUBURAN"	11	123.5		6.5							1
	1905			"SYRIA"	140	"SYRIA:  RASUM-KALE (NEAR HALAB); LEBANON:  BAYRONT"	36.1	37.1			8						2
	1905			"TUNISIA"	15	"TUNISIA:  BIZERTE"	37.3	9.9									
	1906	1	7	"CHINA"	30	"CHINA:  YUNNAN PROVINCE"	26.6	104.1		5.5	7		3				2
	1906	1	21	"JAPAN"	30	"JAPAN:  NEAR S COAST HONSHU"	34	138	340	8.4							
	1906	1	31	"VENEZUELA"	90	"VENEZUELA:  CARACAS"	10.5	-66.917									
	1906	1	31	"ECUADOR"	160	"ECUADOR:  OFF COAST"	1	-81.5	25	8.6	9	1000	3				2
	1906	2	3	"COLOMBIA"	160	"COLOMBIA"	3.5	-76.2		7.7	10						
	1906	2	7	"ECUADOR"	160	"COLOMBIA-ECUADOR"	1	-81									
	1906	2	16	"SAINT LUCIA"	90	"SAINT LUCIA:  CASTRIES"	14	-61			8						1
	1906	2	21	"COLOMBIA"	160	"COLOMBIA: BUENAVENTURA"	3.9	-77.033									
	1906	3	1	"ALBANIA"	130	"ALBANIA:   ELBASAN"	41.1	20	15	6.5	10						3
	1906	3	16	"TAIWAN"	30	"TAIWAN:  JIAYI"	23.6	120.5		6.8		1258	4	145	3		3
	1906	3	28	"CHINA"	30	"CHINA:  FUJIAN PROVINCE"	24.5	118.5		6.5	8		3		2		2
	1906	4	10	"MEXICO"	150	"MEXICO:  REVILLA GIGEDO ISLANDS"	19	-113.8	60	7.5							
	1906	4	13	"TAIWAN"	30	"TAIWAN:  JIAYI"	23.4	120.4		6.5		15	1	84	2		3
	1906	4	18	"USA"	150	"CALIFORNIA:  SAN FRANCISCO"	37.67	-122.48	20	7.9	11	700	3			400	4
	1906	5	7	"CHILE"	160	"CHILE:  ARICA; PERU: TACNA"	-18.5	-70.3	33								
	1906	5		"CHINA"	30	"CHINA:  YUNNAN PROVINCE"	24.6	98.6		5.3	7	1	1				2
	1906	7	11	"COLOMBIA"	160	"COLOMBIA"	4.6	-74		7.7	9						
	1906	7	14	"COLOMBIA"	160	"COLOMBIA"	4.6	-74		7.7	9						
	1906	8	17	"USA"	150	"ALASKA:  ALEUTIAN ISLANDS:  RAT ISLANDS"	51.05	179.69	25	7.8							
