"Search Parameters"	"Year"	"Mo"	"Dy"	"Country"	"Region"	"Location Name"	"Latitude"	"Longitude"	"Focal Depth (km)"	"Mag"	"MMI Int"	"Deaths"	"Death Description"	"Injuries"	"Injuries Description"	"Damage ($Mil)"	"Damage Description"
"[""1900 <= Year >= 2020"",""Region = Central America""]"																	
	1900	6	21	"COSTA RICA"	100	"COSTA RICA"	10	-85.5	60	7.5							
	1901	10	8	"NICARAGUA"	100	"NICARAGUA"	11	-86.5		7							1
	1902	1	18	"GUATEMALA"	100	"GUATEMALA:  SAN MARTIN, QUEZALTENANGO"	14.71	-91.59		6.3							1
	1902	2	26	"EL SALVADOR"	100	"EL SALVADOR-GUATEMALA"	13.5	-89.5		7							
	1902	4	19	"GUATEMALA"	100	"GUATEMALA:  QUEZALTENANGO, SAN MARCOS"	14	-91	33	7.5		2000	4				3
	1904	12	20	"PANAMA"	100	"PANAMA:  BOCAS DEL TORO"	9.2	-82.8	60	7.2							
	1905	1	20	"COSTA RICA"	100	"COSTA RICA:  PUNTARENAS"	9.85	-84.68		6.8							1
	1910	4	13	"COSTA RICA"	100	"COSTA RICA:  CARTAGO"	9.8	-84				1750	4				2
	1910	5	4	"COSTA RICA"	100	"COSTA RICA:  CARTAGO, SAN JOSE"	10	-84				700	3				3
	1913	10	2	"PANAMA"	100	"PANAMA: AZUERO PENINSULA"	7.1	-80.6		6.7			1				1
	1915	9	7	"EL SALVADOR"	100	"EL SALVADOR"	14	-89	80	7.9							
	1915	12	29	"EL SALVADOR"	100	"EL SALVADOR:  AHUACHAPAN,ATACO,APANECA"	14.56	-88.76		6.6			1				2
	1916	1	31	"COSTA RICA"	100	"COSTA RICA-PANAMA"											
	1916	2	27	"NICARAGUA"	100	"NICARAGUA:  OFF COAST"	11	-86	60	7.5							
	1917	6	8	"EL SALVADOR"	100	"EL SALVADOR:  SAN SALVADOR"	13.82	-89.31		6.7			3				4
	1917	12	26	"GUATEMALA"	100	"GUATEMALA:  GUATEMALA CITY"	14.6	-90.6		6		2650	4				4
	1918	1	4	"GUATEMALA"	100	"GUATEMALA:  GUATEMALA CITY"	14	-90									3
	1919	4	28	"EL SALVADOR"	100	"EL SALVADOR:  SAN SALVADOR"	13.69	-89.19		5.9			2				3
	1919	6	29	"NICARAGUA"	100	"NICARAGUA:  GULF OF FONSECA"	12.33	-88.291	20	6.6							
	1921	2	4	"GUATEMALA"	100	"GUATEMALA"	15	-91	120	7.5							
	1922	2	16	"NICARAGUA"	100	"NICARAGUA"	11.7	-70.85		6.4							3
	1925	10	5	"NICARAGUA"	100	"NICARAGUA:  MANAGUA"	12.2	-85.2	135	6.7							3
	1926	11	5	"NICARAGUA"	100	"NICARAGUA:  MANAGUA,GRANADA,MASAYA,CHINANDEGA"	12.3	-85.8	135	7							3
	1930	3	31	"NICARAGUA"	100	"NICARAGUA:  MANAGUA"	12.1	-86.2				1000	3			15	3
	1931	3	31	"NICARAGUA"	100	"NICARAGUA:  MANAGUA"	13.2	-85.7		5.6		2450	4			15	3
	1932	5	21	"NICARAGUA"	100	"NICARAGUA:  NEAR WEST COAST"	12	-87.5	90	7.6							
	1932			"EL SALVADOR"	100	"EL SALVADOR:  ZACATECOLUCA,SAN JUAN,NONUALCO"	13.3	-88.5									3
	1933	5	21	"EL SALVADOR"	100	"EL SALVADOR:  SAN SALVADOR"	12	-87.5	90	6.9							2
	1934	7	18	"PANAMA"	100	"PANAMA-COSTA RICA"	8	-82.5	60	7.7				4	1	0.05	1
