Year,Country,Region,Latitude,Longitude,Depth,Magnitud,Density,IDH,Ciudades,Death_Cat,Injuries_Cat,Damage_Cat,Density_Gpo,Death_Descripcion,Injurie_Descripcion,Damage_Descripcion
1960,PERU,160,-15.75,-72.75,160.0,7.8,0,0.0,4,2,3,2,1,de 51 a 100 decesos,de 101 a 1000 lesionados,de $1 a $5 millones
1960,ALGERIA,15,36.0,4.1,33.0,5.6,0,0.0,1,1,2,2,1,entre 1 y 50 decesos,de 51 a 100 lesionados,de $1 a $5 millones
1960,MOROCCO,15,30.45,-9.62,33.0,5.9,0,0.0,1,3,2,3,1,de 101 a 1000 decesos,de 51 a 100 lesionados,de $5 a $25 millones
1960,IRAN,140,27.814,54.497,15.0,5.9,0,0.0,1,2,2,3,1,de 51 a 100 decesos,de 51 a 100 lesionados,de $5 a $25 millones
1960,CHILE,160,-37.872,-73.243,35.0,8.2,0,0.0,1,4,3,2,1,mas de 1000 decesos,de 101 a 1000 lesionados,de $1 a $5 millones
1960,CHILE,160,-38.143,-73.407,33.0,9.5,0,0.0,2,4,3,2,1,mas de 1000 decesos,de 101 a 1000 lesionados,de $1 a $5 millones
1961,JAPAN,30,31.6,131.8,74.0,7.3,0,0.0,1,3,3,2,1,de 101 a 1000 decesos,de 101 a 1000 lesionados,de $1 a $5 millones
1961,INDONESIA,60,-8.2,122.0,74.0,6.5,0,0.0,1,3,3,2,1,de 101 a 1000 decesos,de 101 a 1000 lesionados,de $1 a $5 millones
1961,ETHIOPIA,10,10.4,39.9,33.0,6.5,0,0.0,1,3,3,3,1,de 101 a 1000 decesos,de 101 a 1000 lesionados,de $5 a $25 millones
1961,IRAN,140,27.861,54.528,15.0,6.4,0,0.0,6,2,3,3,1,de 51 a 100 decesos,de 101 a 1000 lesionados,de $5 a $25 millones
1961,COLOMBIA,160,4.49,-75.51,163.0,6.8,0,0.0,1,3,3,2,1,de 101 a 1000 decesos,de 101 a 1000 lesionados,de $1 a $5 millones
1962,CHINA,30,23.72,114.67,25.0,6.1,0,0.0,1,3,3,3,1,de 101 a 1000 decesos,de 101 a 1000 lesionados,de $5 a $25 millones
1962,JAPAN,30,38.8,140.9,104.0,6.8,0,0.0,1,3,3,2,1,de 101 a 1000 decesos,de 101 a 1000 lesionados,de $1 a $5 millones
1962,MEXICO,150,17.2,-99.6,40.0,7.0,0,0.0,1,3,3,2,1,de 101 a 1000 decesos,de 101 a 1000 lesionados,de $1 a $5 millones
1962,MEXICO,150,17.2,-99.5,33.0,7.2,0,0.0,1,2,1,2,1,de 51 a 100 decesos,entre 1 y 50 lesionados,de $1 a $5 millones
1962,COLOMBIA,160,5.2,-76.4,69.0,6.8,0,0.0,2,3,3,2,1,de 101 a 1000 decesos,de 101 a 1000 lesionados,de $1 a $5 millones
1962,IRAN,140,35.63,49.87,27.0,7.2,0,0.0,1,2,1,2,1,de 51 a 100 decesos,entre 1 y 50 lesionados,de $1 a $5 millones
1963,TAIWAN,30,24.5,122.1,47.0,7.3,0,0.0,2,3,3,2,1,de 101 a 1000 decesos,de 101 a 1000 lesionados,de $1 a $5 millones
1963,LIBYA,15,32.6,21.0,5.0,5.4,0,0.0,1,3,3,3,1,de 101 a 1000 decesos,de 101 a 1000 lesionados,de $5 a $25 millones
1963,IRAN,140,37.0,57.9,33.0,5.0,0,0.0,1,1,2,2,1,entre 1 y 50 decesos,de 51 a 100 lesionados,de $1 a $5 millones
1963,MACEDONIA,130,42.1,21.3,5.0,6.0,0,0.0,1,4,3,3,1,mas de 1000 decesos,de 101 a 1000 lesionados,de $5 a $25 millones
1963,IRAN,140,27.8,55.6,37.0,5.2,0,0.0,5,1,2,2,1,entre 1 y 50 decesos,de 51 a 100 lesionados,de $1 a $5 millones
1963,TURKEY,140,40.75,29.0,19.0,6.1,0,0.0,1,2,3,3,1,de 51 a 100 decesos,de 101 a 1000 lesionados,de $5 a $25 millones
1964,INDONESIA,170,-3.7,119.4,90.0,5.2,0,0.0,1,2,3,2,1,de 51 a 100 decesos,de 101 a 1000 lesionados,de $1 a $5 millones
1964,TAIWAN,30,23.2,120.6,33.0,7.0,0,0.0,1,3,3,2,1,de 101 a 1000 decesos,de 101 a 1000 lesionados,de $1 a $5 millones
1964,TANZANIA,10,-4.0,34.9,33.0,6.0,0,0.0,1,3,2,3,1,de 101 a 1000 decesos,de 51 a 100 lesionados,de $5 a $25 millones
1964,JAPAN,30,38.65,139.2,40.0,7.5,0,0.0,1,3,3,2,1,de 101 a 1000 decesos,de 101 a 1000 lesionados,de $1 a $5 millones
1965,ALGERIA,15,35.7,4.4,10.0,5.5,0,0.0,1,1,3,2,1,entre 1 y 50 decesos,de 101 a 1000 lesionados,de $1 a $5 millones
1965,GREECE,130,39.4,24.0,18.0,6.3,0,0.0,2,3,3,3,1,de 101 a 1000 decesos,de 101 a 1000 lesionados,de $5 a $25 millones
1965,GREECE,130,37.7,21.8,34.0,6.2,0,0.0,1,3,3,3,1,de 101 a 1000 decesos,de 101 a 1000 lesionados,de $5 a $25 millones
1965,JAPAN,30,34.9,138.0,36.0,6.0,0,0.0,2,3,3,3,1,de 101 a 1000 decesos,de 101 a 1000 lesionados,de $5 a $25 millones
1965,EL SALVADOR,100,13.5,-89.3,23.0,6.0,0,0.0,1,3,2,3,1,de 101 a 1000 decesos,de 51 a 100 lesionados,de $5 a $25 millones
1965,GREECE,130,38.266999999999996,22.3,18.0,6.3,0,0.0,1,3,3,3,1,de 101 a 1000 decesos,de 101 a 1000 lesionados,de $5 a $25 millones
1966,GREECE,130,39.2,22.0,38.0,6.3,0,0.0,1,3,2,2,1,de 101 a 1000 decesos,de 51 a 100 lesionados,de $1 a $5 millones
1966,TAIWAN,30,24.1,122.6,48.0,8.0,0,0.0,1,3,3,2,1,de 101 a 1000 decesos,de 101 a 1000 lesionados,de $1 a $5 millones
1966,UGANDA,10,0.6,30.2,36.0,7.0,0,0.0,2,3,3,2,1,de 101 a 1000 decesos,de 101 a 1000 lesionados,de $1 a $5 millones
1966,NEPAL,60,29.554000000000002,80.854,23.0,6.3,0,0.0,1,3,2,3,1,de 101 a 1000 decesos,de 51 a 100 lesionados,de $5 a $25 millones
1966,TURKEY,140,38.9,41.3,64.0,4.6,0,0.0,1,1,1,3,1,entre 1 y 50 decesos,entre 1 y 50 lesionados,de $5 a $25 millones
1966,GREECE,130,37.5,22.1,17.0,5.9,0,0.0,1,3,1,3,1,de 101 a 1000 decesos,entre 1 y 50 lesionados,de $5 a $25 millones
1966,COLOMBIA,160,4.62,-73.98,15.0,5.3,0,0.0,1,1,2,2,1,entre 1 y 50 decesos,de 51 a 100 lesionados,de $1 a $5 millones
1966,PERU,160,-10.748,-78.638,38.0,8.1,0,0.0,6,4,3,2,1,mas de 1000 decesos,de 101 a 1000 lesionados,de $1 a $5 millones
1966,GREECE,130,39.2,21.2,20.0,5.7,0,0.0,1,1,1,3,1,entre 1 y 50 decesos,entre 1 y 50 lesionados,de $5 a $25 millones
1966,CHILE,160,-25.5,-70.7,47.0,7.8,0,0.0,2,4,3,1,1,mas de 1000 decesos,de 101 a 1000 lesionados,menos de $1 millón
1967,INDONESIA,60,-9.2,113.1,80.0,6.8,0,0.0,3,3,3,2,1,de 101 a 1000 decesos,de 101 a 1000 lesionados,de $1 a $5 millones
1967,INDONESIA,170,-3.7,119.3,33.0,5.5,0,0.0,1,2,2,2,1,de 51 a 100 decesos,de 51 a 100 lesionados,de $1 a $5 millones
1967,ALGERIA,15,35.5,-0.1,13.0,5.0,0,0.0,1,1,1,2,1,entre 1 y 50 decesos,entre 1 y 50 lesionados,de $1 a $5 millones
1967,COLOMBIA,160,6.747000000000001,-73.03,161.0,6.8,0,0.0,1,3,3,2,1,de 101 a 1000 decesos,de 101 a 1000 lesionados,de $1 a $5 millones
1967,VENEZUELA,90,10.559000000000001,-67.33,25.0,6.6,0,0.0,1,3,2,1,1,de 101 a 1000 decesos,de 51 a 100 lesionados,menos de $1 millón
1967,FRANCE,120,43.2,-0.5,15.0,5.3,0,0.0,6,1,1,3,1,entre 1 y 50 decesos,entre 1 y 50 lesionados,de $5 a $25 millones
1967,CHILE,160,-21.7,-69.5,33.0,7.5,0,0.0,1,2,3,2,1,de 51 a 100 decesos,de 101 a 1000 lesionados,de $1 a $5 millones
1968,ITALY,130,37.9,13.1,33.0,6.0,0,0.0,1,3,2,3,1,de 101 a 1000 decesos,de 51 a 100 lesionados,de $5 a $25 millones
1968,ITALY,130,37.8,13.2,33.0,5.1,0,0.0,1,1,2,1,1,entre 1 y 50 decesos,de 51 a 100 lesionados,menos de $1 millón
1968,GREECE,130,39.368,24.956999999999997,15.0,7.2,0,0.0,1,4,1,1,1,mas de 1000 decesos,entre 1 y 50 lesionados,menos de $1 millón
1968,ALGERIA,15,36.08,5.07,12.657894736842104,4.9,0,0.0,1,1,1,2,1,entre 1 y 50 decesos,entre 1 y 50 lesionados,de $1 a $5 millones
